站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0AH70,松山,署屬自動站,34,121.55042,25.04871,臺北市,松山區敦化北路1號(臺北市松山運動中心),2017-04-26,,因雨量筒較晚驗收完成，2017/04/26至2017/08/17不提供雨量資料。,,
C0AH80,深坑,署屬自動站,68,121.628328,25.002703,新北市,深坑區文山路1段35號(深坑消防分隊樓頂),2017-08-02,,,,
C0AH90,福山植物園,署屬自動站,660,121.58135,24.760717,新北市,烏來區福山植物園內(生活植物區之民俗植物區觀測坪),2018-03-23,,,,
C0AI00,五股,署屬自動站,188,121.42728,25.07445,新北市,五股區外寮路12號,2018-07-10,,,,
C0AI10,屈尺,署屬自動站,76,121.54475,24.92184,新北市,新店區屈尺路83號(衛福部北區老人之家),2018-11-20,,,C0A580,
C0AI20,白沙灣,署屬自動站,25,121.519058,25.283128,新北市,石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）,2018-11-28,,,,
C0AI30,三重,署屬自動站,26,121.500629,25.057328,新北市,三重區環河南路100號,2019-08-02,,原(C0A9I1)站因移位，於2019/8/2變更為(C0AI30)站。,C0A9I1,
C0AI40,石牌,署屬自動站,35,121.513139,25.115597,臺北市,北投區石牌路一段139號(石牌國中自強樓頂樓),2019-09-10,,原(C0A9B0)站因移位，於2019/9/10變更為(C0AI40)站。,C0A9B0,
C0AJ20,野柳,署屬自動站,50,121.690021,25.20703,新北市,萬里區野柳村151-1號(野柳守望哨雷達塔),2022-03-09,,,,
C0AJ30,淡水觀海,署屬自動站,22,121.408616,25.184591,新北市,淡水區觀海路251號(淡水第2海巡隊樓頂),2022-03-09,,,,
C0AJ40,石門,署屬自動站,154,121.601198,25.273672,新北市,石門區草里里草埔尾5號(黃金海岸高爾夫球場),2022-03-09,,,,
C0AJ50,水湳洞,署屬自動站,30,121.862238,25.123695,新北市,瑞芳區水湳洞段00197-000建號(水湳洞犬區隊),2022-03-09,,,,
C0AJ60,六塊厝,署屬自動站,13,121.4481,25.24,新北市,淡水區,2022-12-26,,,,
C0AJ70,田寮,署屬自動站,21,121.4886,25.2698,新北市,三芝區古庄里83之1號,2022-12-26,,,,
C0AJ80,板橋,署屬自動站,38,121.4489,25.0107,新北市,板橋區僑中一街1號,2023-01-03,,配合板橋有人站遷移，2023/01/03上午11時開始自動觀測。,,
C0AJ90,澳底,署屬自動站,23,121.9253,25.0552,新北市,貢寮區真理里延平街10號(澳底國小),2023-06-16,,原(C0AJ10)站因移位，於2023/06/16變更為(C0AJ90)站。,C0AJ10,
C0AK10,太平里,署屬自動站,18,121.364899,25.134937,新北市,林口區太平里汕頭32號,2025-02-05,,,,
C0AK30,硬漢嶺,署屬自動站,607,121.426372,25.136097,新北市,觀音山硬漢嶺前奉茶基地上方平台,2025-04-07,,原(CAAH70)合作站於2025/04/07升級為(C0AK30)自動氣象站。,CAAH70,
C0B010,七堵,署屬自動站,38,121.71713,25.094819,基隆市,七堵區東新街22號(基隆商工樓頂),2018-06-23,,,,
C0B020,基隆嶼,署屬自動站,86,121.78391,25.19141,基隆市,中正區基隆嶼,2018-10-26,,,,
C0B040,大武崙,署屬自動站,15,121.706993,25.166676,基隆市,安樂區武聖街144弄50號(大武崙安檢所樓頂),2022-03-09,,,,
C0B050,八斗子,署屬自動站,5,121.79167,25.144754,基隆市,中正區漁港1街9號(八斗子安檢所樓頂),2022-03-09,,,,
C0B060,暖暖,署屬自動站,83,121.7403,25.0957,基隆市,暖暖區東碇路15號（暖暖運動公園內）,2023-01-14,,,,
C0C460,復興,署屬自動站,482,121.352281,24.820208,桃園市,復興區澤仁里中正路248號(介壽國民中學校園內),2007-10-01,,原(C1C460)站因擴充為氣象站，於2007/10/1升級為(C0C460)站。,C1C460,
C0C480,桃園,署屬自動站,105,121.323172,24.992425,桃園市,桃園區成功路二段144號(桃園高級農工職業學校校園內),2008-01-01,,原(C1C480)站因擴充為氣象站，於2008/1/1升級為(C0C480)站。,C1C480,
C0C490,八德,署屬自動站,157,121.283289,24.928708,桃園市,八德區興仁里中山路94號(八德國民小學校園內),2011-12-01,,原(C1C490)站因擴充為氣象站，於2011/12/1升級為(C0C490)站。,C1C490,
C0C590,觀音,署屬自動站,72,121.153317,25.027072,桃園市,觀音區廣福里10-42號(逸福農場),2007-10-01,,,,
C0C620,蘆竹,署屬自動站,19,121.265767,25.084275,桃園市,蘆竹區坑口里14鄰旁,2011-12-01,,原(C1C620)站因擴充為氣象站，於2011/12/1升級為(C0C620)站。,C1C620,
C0C630,大溪,署屬自動站,209,121.265547,24.882853,桃園市,大溪區員林路2段450號(員樹林國小校園內),2007-12-01,,,,
C0C650,平鎮,署屬自動站,208,121.214636,24.897503,桃園市,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內),2007-12-01,,,,
C0C660,楊梅,署屬自動站,176,121.143047,24.912375,桃園市,楊梅區金華街100號(楊心國小),2013-08-01,,,,
C0C670,龍潭,署屬自動站,250,121.221389,24.870056,桃園市,龍潭區中興路726號（龍潭消防分隊）,2014-04-01,,,,
C0C680,龜山,署屬自動站,228,121.38656,25.02846,桃園市,龜山區文化一路250號(國立體育大學田徑場),2017-04-12,,,,
C0C700,中壢,署屬自動站,151,121.256375,24.977661,桃園市,中壢區成章四街120號(內壢高中樓頂),2017-12-27,,,,
C0C710,大溪永福,署屬自動站,143,121.324975,24.892936,桃園市,大溪區信義路1165號（永福國小）,2018-12-26,,,,
C0C720,竹圍,署屬自動站,21,121.239824,25.112692,桃園市,大園區沙崙段沙崙小號00719-000建號(竹圍第一機動巡邏隊樓頂),2022-03-09,,,,
C0C730,中大臨海站,署屬自動站,5,121.008581,24.966126,桃園市,新屋區蚵殼港段深圳小段52-41號土地(中央大學臨海工作站),2022-03-09,,,,
C0C740,觀音工業區,署屬自動站,5.3,121.114856,25.064764,桃園市,觀音區經建七路5號(觀音工業區汙水處理廠迴流汙泥站機房樓頂),2022-03-09,,,,
C0C750,新興坑尾,署屬自動站,72,121.0971,25.0061,桃園市,觀音區文化路石橋段453號,2022-12-26,,,,
C0C790,東眼山,署屬自動站,858,121.40888,24.8284,桃園市,復興區東眼山段93地號,2025-04-25,,,,
C0C800,四稜,署屬自動站,1167,121.4293,24.64733,桃園市,復興區四稜段6地號,2025-04-25,,,,
C0D360,梅花,署屬自動站,523,121.208558,24.678347,新竹縣,尖石鄉梅花村1鄰11號(梅花國小校園內),1987-06-01,,,,
C0D430,峨眉,署屬自動站,87,121.017189,24.6905,新竹縣,峨眉鄉31541峨眉村峨眉街54號(峨眉國中校園內),2011-12-01,,原(C1D430)站因擴充為氣象站，於2011/12/1升級為(C0D430)站。,C1D430,
C0D480,打鐵坑,署屬自動站,223,121.150789,24.849664,新竹縣,新埔鎮新北里8鄰大北坑28號旁,2008-01-01,,原(C1D480)站因擴充為氣象站，於2008/1/1升級為(C0D480)站。,C1D480,
C0D540,橫山,署屬自動站,227,121.11693,24.71116,新竹縣,橫山鄉橫山村橫山段426-6地號上,2007-10-01,,,,
C0D550,雪霸,署屬自動站,1956,121.11605,24.526972,新竹縣,五峰鄉桃山村民石380號(雪霸農場內),2007-10-01,,,,
C0D560,竹東,署屬自動站,147,121.057881,24.767147,新竹縣,竹東鎮二重國民小學校園內,2008-01-01,,原(C1D560)站因擴充為氣象站，於2008/1/1升級為(C0D560)站。,C1D560,
C0D580,寶山,署屬自動站,120,121.025192,24.735006,新竹縣,寶山鄉新湖路280號旁,2007-12-01,,,,
C0D590,新豐,署屬自動站,143,120.97721,24.87068,新竹縣,新豐鄉松柏村康和路199號(小叮噹科學主題樂園),2007-10-01,,原(C0C580)站因縣市代碼不符，於2008/2/25重新編碼為(C0D590)站。,C0C580,
C0D650,湖口,署屬自動站,97,121.043628,24.904794,新竹縣,湖口鄉信勢村三鄰成功路109號(湖口消防分隊),2013-10-01,,,,
C0D660,新竹市東區,署屬自動站,65,120.986942,24.798681,新竹市,東區光復路二段321號（工研院光復院區6館）,2014-11-01,,,,
C0D670,海天一線,署屬自動站,23,120.914438,24.831986,新竹市,北區(海天一線看海公園),2022-03-09,,,,
C0D680,香山濕地,署屬自動站,24,120.914988,24.783581,新竹市,香山區西濱路三段500巷17號,2022-03-09,,,,
C0D690,外湖,署屬自動站,20,120.968711,24.917735,新竹縣,新豐鄉新豐段00369-000建號(外湖守望哨樓頂),2022-03-09,,,,
C0D700,關西,署屬自動站,155,121.1732,24.7977,新竹縣,關西鎮北斗里北門口41號(關西國中校園內),2023-02-19,,原(C0D390)站因移位，於2023/02/19變更為(C0D700)站。,C0D390,
C0D750,樂山林道6k,署屬自動站,2292,121.08773,24.49999,新竹縣,五峰鄉檜山段33地號,2025-04-25,,,,
C0D760,大坪苗圃,署屬自動站,1371,121.1108,24.5362,新竹縣,五峰鄉腦寮段3地號,2025-04-25,,,,
C0E420,竹南,署屬自動站,19,120.888897,24.708978,苗栗縣,竹南鎮大埔里仁愛路1092號(竹南鎮大埔國民小學內),1987-06-01,,,,
C0E430,南庄,署屬自動站,258,121.000214,24.601775,苗栗縣,南庄鄉東村文化路3號(南庄國小校園內),1987-06-01,,,,
C0E550,明德,署屬自動站,84,120.885411,24.583486,苗栗縣,頭屋鄉明德水庫水利工作站屋頂上,2011-11-01,,原(C1E550)站因擴充為氣象站，於2011/11/1升級為(C0E550)站。,C1E550,
C0E570,白沙屯,署屬自動站,31,120.696803,24.549447,苗栗縣,通霄鎮新埔里19鄰新埔151-2號,2025-02-05,,,,
C0E590,通霄,署屬自動站,40,120.704622,24.471892,苗栗縣,通霄鎮城北里1鄰13號(通霄鎮城中國民小學內),2011-11-01,,原(C1E590)站因擴充為氣象站，於2011/11/1升級為(C0E590)站，原為土城雨量站。於2024/01/08完成儀器汰換,C1E590,
C0E610,馬都安,署屬自動站,850,120.930192,24.451272,苗栗縣,泰安鄉錦水村(由泰安開車約2小時瞭望台旁),1990-07-21,,,,
C0E730,頭份,署屬自動站,26,120.912206,24.688247,苗栗縣,頭份市中正路219號(苗栗縣頭份鎮頭份國小校園內),2007-12-01,,,,
C0E740,造橋,署屬自動站,27,120.864778,24.637056,苗栗縣,造橋鄉造橋村14鄰3號(造橋國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0E750,苗栗,署屬自動站,62,120.824575,24.564569,苗栗縣,苗栗市中正路241號(建功國小),2011-11-01,,,,
C0E780,銅鑼,署屬自動站,160,120.790853,24.489681,苗栗縣,銅鑼鄉福興村文化街1號(銅鑼國小),2011-11-01,,,,
C0E791,卓蘭,署屬自動站,366,120.8244,24.3126,苗栗縣,卓蘭鎮中山路125-1號(卓蘭鎮圖書館樓頂),2022-09-21,,原(C0E790)站因移位，於2022/9/21變更為(C0E791)站。,C0E790,
C0E810,西湖,署屬自動站,53,120.7485,24.562947,苗栗縣,西湖鄉二湖村2鄰22號(僑文國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0E820,獅潭,署屬自動站,220,120.920042,24.539133,苗栗縣,獅潭鄉新店村11鄰103-2號(獅潭鄉公所圖書館樓頂),2011-12-01,,,,
C0E830,苑裡,署屬自動站,37,120.653053,24.439714,苗栗縣,苑裡鎮信義路1號(苑裡鎮公所),2013-12-01,,於2024/01/08完成儀器汰換,,
C0E850,大河,署屬自動站,104,120.948578,24.618069,苗栗縣,三灣鄉大河村48號(大河派出所),2015-08-04,,,,
C0E870,高鐵苗栗,署屬自動站,34,120.826094,24.60725,苗栗縣,後龍鎮高鐵三路268號(高鐵苗栗站外),2017-08-01,,,,
C0E910,海埔,署屬自動站,25,120.772435,24.648767,苗栗縣,後龍鎮海埔125之15號(外埔安檢所樓頂),2022-03-09,,,,
C0E920,通霄漁港,署屬自動站,20,120.673876,24.498589,苗栗縣,通霄鎮漁港路69號(通霄安檢所樓頂),2022-03-09,,,,
C0E930,龍鳳,署屬自動站,26,120.859125,24.700034,苗栗縣,竹南鎮龍鳳里龍江街359巷5號(龍鳳安檢所樓頂),2022-03-09,,,,
C0E940,雪見,署屬自動站,1881,121.01347,24.42595,苗栗縣,泰安鄉盡尾段15-1地號,2025-04-25,,,,
C0E950,松安,署屬自動站,1328,120.98599,24.39792,苗栗縣,泰安鄉荻岡段39地號,2025-04-25,,,,
C0E960,觀霧分站,署屬自動站,2094,121.113921,24.505781,苗栗縣,泰安鄉觀霧段55-1地號,2025-04-25,,,,
C0F0A0,雪山圈谷,署屬自動站,3587,121.236339,24.388594,臺中市,和平區(往雪山主峰路上9.8公里處右邊),2016-07-15,,,,
C0F0B0,石岡,署屬自動站,311,120.777644,24.276061,臺中市,石岡區石岡街6號 (臺中市石岡區衛生所),2016-10-01,,,,
C0F0C0,中坑,署屬自動站,983,120.903319,24.248517,臺中市,和平區中坑里中坑段39地號內,2017-06-14,,,,
C0F0D0,審馬陣,署屬自動站,3171,121.4203,24.381675,臺中市,和平區南湖大山指標16.2K處(審馬陣山附近),2017-12-28,,,,
C0F0E0,南湖圈谷,署屬自動站,3557,121.444667,24.363714,臺中市,和平區南湖大山指標20K處(南湖主峰東峰岔路附近),2017-12-28,,,,
C0F850,東勢,署屬自動站,379,120.833047,24.246428,臺中市,東勢區東關路647號(東勢林區管理處雙崎工作站內),2011-11-01,,原(C1F850)站因擴充為氣象站，於2011/11/1升級為(C0F850)站。,C1F850,
C0F970,大坑,署屬自動站,145,120.722289,24.173142,臺中市,北屯區軍福十三路268號(東山消防分隊),2011-11-01,,原(C1F970)站因擴充為氣象站，於2011/11/1升級為(C0F970)站。,C1F970,
C0F9I0,神岡,署屬自動站,194,120.658314,24.272481,臺中市,神岡區三民路639號(圳堵國小校園南側大樓屋頂平台),2011-11-01,,本站原為雨量站(C1F9I0)，於2011/11/1擴充為氣象站，變更站碼為(C0F9I0)。於2025/02/05完成儀器汰換。,C1F9I0,
C0F9K0,大安,署屬自動站,30,120.588025,24.345061,臺中市,大安區中庄里中山南路296號(大安國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9L0,后里,署屬自動站,253,120.729725,24.310436,臺中市,后里區甲后路110號(后里國小),2011-11-01,,,,
C0F9M0,豐原,署屬自動站,230,120.720692,24.254322,臺中市,豐原區豐榮里12鄰新生北路155號(豐原國小),2011-11-01,,,,
C0F9N0,大里,署屬自動站,75,120.701378,24.092464,臺中市,大里區文化街120號(塗城國小),2011-11-01,,,,
C0F9O0,潭子,署屬自動站,175,120.703933,24.213106,臺中市,潭子區中山路二段435號(潭子國小),2011-11-01,,,,
C0F9P0,清水,署屬自動站,26,120.562242,24.312297,臺中市,清水區護岸路37號(高美國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9Q0,外埔,署屬自動站,149,120.705686,24.347817,臺中市,外埔區土城里土城西路55號(安定國小),2011-11-01,,,,
C0F9R0,龍井,署屬自動站,20,120.528972,24.184536,臺中市,龍井區西里龍門路51號(龍井國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9S0,烏日,署屬自動站,43,120.624103,24.107058,臺中市,烏日區中山路二段196號(烏日國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9T0,西屯,署屬自動站,111,120.641275,24.179494,臺中市,西屯區西屯路二段300號(西屯國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9U0,南屯,署屬自動站,74,120.637969,24.137006,臺中市,南屯區黎明路一段968號(南屯國小),2011-11-01,,於2024/01/08完成儀器汰換,,
C0F9V0,新社,署屬自動站,525,120.815806,24.200172,臺中市,新社區大南里興中街46號(農委會種苗改良繁殖場),2011-11-01,,,,
C0F9X0,大雅(中科園區),署屬自動站,166,120.62445,24.21528,臺中市,大雅區中部科學工業園區臺中園區(汙水處理機房樓頂),2015-08-21,,於2024/01/08完成儀器汰換,,
C0F9Y0,桃山,署屬自動站,3313,121.303808,24.432739,臺中市,和平區(位於往桃山山屋叉路解說牌附近),2016-07-15,,,,
C0F9Z0,雪山東峰,署屬自動站,3193,121.268675,24.388792,臺中市,和平區(位於雪山東峰直升機停機坪東南東方60公尺處),2016-07-15,,,,
C0FA10,松柏,署屬自動站,22,120.617482,24.429115,臺中市,大甲區順帆路233號(松柏安檢所樓頂),2022-03-09,,,,
C0FA20,溫寮,署屬自動站,26,120.583125,24.372177,臺中市,大安區中山北路1巷67號(臺中大安區里民活動中心樓頂),2022-03-09,,,,
C0FA30,梧棲,署屬自動站,31.73,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,2022-08-01,,本站站碼於2022/8/1由467770改為C0FA30。,467770,
C0FA40,臺中電廠,署屬自動站,25,120.4907,24.2146,臺中市,龍井區龍昌路1號,2022-12-26,,,,
C0FA50,霧峰,署屬自動站,58,120.6995,24.0419,臺中市,霧峰區新生路192號(921地震教育園區內),2023-03-10,,,,
C0FA60,鞍馬山工作站,署屬自動站,2137,121.000793,24.267064,臺中市,和平區鞍馬山段31地號,2025-04-25,,,,
C0FA70,大雪山埡口,署屬自動站,2591,121.03062,24.26867,臺中市,和平區小雪山段36地號,2025-04-25,,,,
C0FA80,小雪山天池,署屬自動站,2629,121.02627,24.28025,臺中市,和平區小雪山段3地號,2025-04-25,,,,
C0FA90,小雪山林道,署屬自動站,2940,121.03651,24.29515,臺中市,和平區小雪山段51地號,2025-04-25,,,,
C0FB00,大雪山,署屬自動站,2275,121.007374,24.254668,臺中市,和平區鞍馬山段4地號,2025-04-25,,,,
C0FB10,出雲山苗圃,署屬自動站,1034,120.90475,24.23105,臺中市,和平區橫流溪段41地號,2025-04-25,,,,
C0FB20,雪山橋,署屬自動站,2006,120.9786,24.23192,臺中市,和平區鞍馬山段111地號,2025-04-25,,,,
C0FB30,八仙山苗圃,署屬自動站,961,121.001366,24.192719,臺中市,和平區八仙山段32地號,2025-04-25,,,,
C0FB40,中橫21.6k,署屬自動站,1341,121.1455,24.2499,臺中市,和平區光明段12地號,2025-04-25,,,,
C0FB70,大甲溪埔,署屬自動站,41,120.620067,24.370625,臺中市,台中市大甲區東西七路一段(大甲飛龍團九天玄女會館入口旁),2025-02-05,,於2025/02/07變更站名。,,
C0G620,芬園,署屬自動站,110,120.6213,24.015678,彰化縣,芬園鄉楓坑村大埔崙產業道路上(芬園往臺灣民俗村路上),2011-11-01,,原(C1G620)站因擴充為氣象站，於2011/11/1升級為(C0G620)站。,C1G620,
C0G650,員林,署屬自動站,34,120.585597,23.946503,彰化縣,員林市萬年里明倫路2號(明倫國中內),1992-07-01,,本站於2011/3/10進行儀器汰換，於2011/11/1完成驗收。,,
