"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","690.6","691.9","2016/12/01 09:24:00","689.6","2016/12/01 15:12:00","4.6","9.6","2016/12/01 10:07:00","1.8","2016/12/01 22:54:00","87","57","2016/12/01 02:58:00","2.7","218","12.0","218","2016/12/01 00:17:00","0.0"
"02","691.1","692.2","2016/12/02 09:10:00","690.0","2016/12/02 04:30:00","5.9","13.3","2016/12/02 11:25:00","2.1","2016/12/02 01:03:00","68","48","2016/12/02 23:24:00","2.7","211","12.2","259","2016/12/02 05:58:00","0.0"
"03","691.1","692.7","2016/12/03 09:32:00","690.4","2016/12/03 23:36:00","6.1","11.9","2016/12/03 13:31:00","3.7","2016/12/03 20:39:00","76","52","2016/12/03 08:01:00","2.2","210","8.7","223","2016/12/03 22:13:00","0.0"
"04","689.7","691.1","2016/12/04 09:21:00","688.8","2016/12/04 15:15:00","6.2","10.7","2016/12/04 10:32:00","3.4","2016/12/04 04:52:00","82","56","2016/12/04 23:33:00","3.2","220","13.1","216","2016/12/04 21:49:00","0.0"
"05","689.5","690.8","2016/12/05 22:02:00","688.2","2016/12/05 02:43:00","6.6","14.1","2016/12/05 11:22:00","3.0","2016/12/05 23:27:00","84","54","2016/12/05 00:19:00","3.0","211","13.0","222","2016/12/05 00:52:00","0.0"
"06","689.2","690.7","2016/12/06 09:01:00","687.7","2016/12/06 14:20:00","5.8","10.8","2016/12/06 12:58:00","3.2","2016/12/06 01:41:00","69","14","2016/12/06 23:22:00","2.5","219","11.0","240","2016/12/06 02:45:00","0.0"
"07","687.9","689.4","2016/12/07 09:07:00","686.7","2016/12/07 15:48:00","6.1","14.2","2016/12/07 12:02:00","2.2","2016/12/07 21:49:00","50","6","2016/12/07 07:23:00","2.2","250","8.5","249","2016/12/07 22:09:00","0.0"
"08","685.4","686.9","2016/12/08 00:04:00","683.7","2016/12/08 15:19:00","5.3","11.6","2016/12/08 12:49:00","0.8","2016/12/08 19:19:00","53","5","2016/12/08 21:45:00","3.0","249","17.6","215","2016/12/08 07:41:00","0.0"
"09","685.9","686.9","2016/12/09 09:54:00","685.0","2016/12/09 14:38:00","5.3","13.3","2016/12/09 12:52:00","0.9","2016/12/09 22:41:00","47","7","2016/12/09 00:15:00","2.7","208","8.7","183","2016/12/09 22:09:00","0.0"
"10","686.3","687.5","2016/12/10 09:26:00","685.2","2016/12/10 15:09:00","2.7","11.5","2016/12/10 13:47:00","0.1","2016/12/10 19:04:00","60","6","2016/12/10 06:33:00","2.2","207","9.9","86","2016/12/10 22:38:00","0.0"
