"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","688.7","689.7","2017/12/01 09:46:00","687.7","2017/12/01 03:43:00","6.9","13.6","2017/12/01 10:50:00","3.2","2017/12/01 00:01:00","91","64","2017/12/01 10:45:00","2.8","217","12.8","219","2017/12/01 02:25:00","0.0"
"02","688.5","689.6","2017/12/02 09:04:00","687.6","2017/12/02 14:26:00","5.4","10.9","2017/12/02 14:27:00","3.0","2017/12/02 22:37:00","98","79","2017/12/02 14:34:00","2.5","220","9.8","214","2017/12/02 21:16:00","0.0"
"03","687.6","689.1","2017/12/03 09:23:00","686.5","2017/12/03 15:20:00","4.7","10.4","2017/12/03 11:53:00","2.9","2017/12/03 04:02:00","99","87","2017/12/03 15:20:00","2.8","209","9.9","224","2017/12/03 19:47:00","0.0"
"04","685.4","686.8","2017/12/04 09:07:00","684.1","2017/12/04 15:51:00","1.3","8.4","2017/12/04 11:44:00","-1.4","2017/12/04 06:28:00","74","42","2017/12/04 12:10:00","3.2","236","13.1","224","2017/12/04 12:23:00","0.0"
"05","683.6","--","--","--","--","-1.2","--","--","--","--","98","--","--","2.7","148","--","--","--","0.5"
"06","683.2","684.4","2017/12/06 21:40:00","681.2","2017/12/06 01:04:00","-1.2","0.0","2017/12/06 22:40:00","-3.2","2017/12/06 04:49:00","99","95","2017/12/06 07:57:00","/","/","14.3","239","2017/12/06 05:45:00","1.0"
"07","684.2","685.0","2017/12/07 08:29:00","683.2","2017/12/07 15:05:00","1.3","4.3","2017/12/07 11:09:00","-0.1","2017/12/07 00:01:00","100","97","2017/12/07 11:04:00","2.3","213","12.6","212","2017/12/07 23:10:00","6.0"
"08","683.7","684.9","2017/12/08 09:14:00","682.3","2017/12/08 15:25:00","2.0","7.5","2017/12/08 10:34:00","0.1","2017/12/08 23:55:00","100","91","2017/12/08 10:47:00","2.4","215","11.0","219","2017/12/08 00:56:00","4.0"
"09","682.4","683.3","2017/12/09 23:52:00","680.7","2017/12/09 14:14:00","-1.4","0.5","2017/12/09 00:51:00","-4.1","2017/12/09 20:49:00","98","71","2017/12/09 23:52:00","1.6","203","9.8","222","2017/12/09 10:57:00","9.5"
"10","684.9","686.2","2017/12/10 10:01:00","682.8","2017/12/10 00:18:00","4.1","11.8","2017/12/10 12:23:00","-2.8","2017/12/10 00:21:00","49","9","2017/12/10 23:32:00","4.0","211","12.7","227","2017/12/10 23:47:00","0.5"
"11","685.1","686.8","2017/12/11 09:18:00","684.0","2017/12/11 14:40:00","3.8","12.1","2017/12/11 13:35:00","0.1","2017/12/11 18:50:00","48","3","2017/12/11 06:23:00","3.0","212","13.4","257","2017/12/11 03:05:00","0.0"
"12","685.3","686.4","2017/12/12 09:39:00","683.9","2017/12/12 04:32:00","2.2","6.2","2017/12/12 13:41:00","-0.3","2017/12/12 18:08:00","99","84","2017/12/12 02:11:00","2.7","228","16.0","235","2017/12/12 02:00:00","9.5"
"13","686.4","687.5","2017/12/13 10:05:00","685.7","2017/12/13 03:08:00","1.9","6.3","2017/12/13 11:00:00","0.0","2017/12/13 21:48:00","98","85","2017/12/13 02:25:00","2.2","134","9.9","219","2017/12/13 23:56:00","7.0"
"14","686.5","687.7","2017/12/14 10:06:00","685.4","2017/12/14 03:57:00","2.4","9.2","2017/12/14 12:59:00","0.3","2017/12/14 18:43:00","87","62","2017/12/14 06:52:00","2.9","348","10.3","212","2017/12/14 01:48:00","0.0"
"15","686.8","687.8","2017/12/15 09:35:00","685.7","2017/12/15 15:03:00","2.6","8.3","2017/12/15 15:07:00","0.2","2017/12/15 03:53:00","85","60","2017/12/15 21:57:00","1.9","256","9.5","345","2017/12/15 21:02:00","0.0"
"16","686.7","688.1","2017/12/16 09:36:00","685.4","2017/12/16 14:57:00","1.9","6.0","2017/12/16 12:06:00","-0.8","2017/12/16 23:42:00","91","62","2017/12/16 00:32:00","2.1","202","9.1","219","2017/12/16 18:49:00","0.5"
"17","685.4","687.1","2017/12/17 09:52:00","684.4","2017/12/17 23:50:00","1.9","10.4","2017/12/17 12:02:00","-2.1","2017/12/17 23:23:00","81","35","2017/12/17 08:24:00","3.1","205","12.6","216","2017/12/17 17:25:00","0.0"
"18","685.6","687.2","2017/12/18 21:19:00","683.9","2017/12/18 02:39:00","1.5","7.1","2017/12/18 13:50:00","-1.9","2017/12/18 00:01:00","98","84","2017/12/18 13:52:00","5.5","194","21.6","209","2017/12/18 22:48:00","0.0"
"19","687.7","689.1","2017/12/19 23:42:00","686.1","2017/12/19 03:46:00","4.3","12.1","2017/12/19 13:55:00","0.4","2017/12/19 22:19:00","91","65","2017/12/19 13:09:00","3.8","221","18.3","210","2017/12/19 00:47:00","0.0"
"20","689.9","691.3","2017/12/20 09:38:00","688.7","2017/12/20 03:43:00","1.5","7.8","2017/12/20 14:38:00","-2.0","2017/12/20 18:53:00","45","8","2017/12/20 23:42:00","2.1","5","11.2","223","2017/12/20 01:30:00","0.0"
"21","689.7","691.2","2017/12/21 09:50:00","688.5","2017/12/21 23:52:00","4.3","11.6","2017/12/21 13:36:00","1.4","2017/12/21 00:25:00","19","7","2017/12/21 02:54:00","2.1","209","9.0","219","2017/12/21 22:30:00","0.0"
"22","688.1","689.3","2017/12/22 08:47:00","687.2","2017/12/22 14:18:00","4.3","10.5","2017/12/22 13:33:00","0.9","2017/12/22 06:13:00","47","10","2017/12/22 01:38:00","2.2","223","10.0","222","2017/12/22 04:42:00","0.0"
