"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","688.9","689.7","2020/08/01 21:27:00","688.2","2020/08/01 02:21:00","11.4","20.0","2020/08/01 13:17:00","7.3","2020/08/01 23:58:00","74","50","2020/08/01 11:10:00","2.8","206","13.9","216","2020/08/01 02:02:00","0.0"
"02","687.4","689.0","2020/08/03 00:00:00","685.9","2020/08/02 23:59:00","11.0","18.7","2020/08/02 11:09:00","7.2","2020/08/02 00:22:00","82","57","2020/08/02 03:45:00","1.5","199","8.5","214","2020/08/02 02:19:00","0.0"
"03","684.2","685.9","2020/08/03 00:07:00","683.0","2020/08/03 15:26:00","9.9","12.6","2020/08/03 12:35:00","8.4","2020/08/03 01:07:00","100","89","2020/08/03 20:06:00","3.3","205","13.8","215","2020/08/03 18:14:00","9.0"
"04","687.0","689.3","2020/08/04 23:39:00","684.2","2020/08/04 03:07:00","10.2","13.3","2020/08/04 12:50:00","8.9","2020/08/04 01:37:00","99","84","2020/08/04 12:55:00","3.4","219","17.1","218","2020/08/04 04:25:00","1.0"
"05","690.2","691.8","2020/08/05 22:16:00","688.9","2020/08/05 00:51:00","11.1","21.0","2020/08/05 12:06:00","7.7","2020/08/05 05:27:00","89","54","2020/08/05 11:54:00","2.4","204","9.3","216","2020/08/05 00:33:00","0.0"
"06","690.6","691.3","2020/08/06 10:29:00","689.6","2020/08/06 17:24:00","11.6","19.9","2020/08/06 11:39:00","8.3","2020/08/06 04:00:00","76","43","2020/08/06 09:07:00","1.8","213","9.2","215","2020/08/06 06:42:00","0.0"
"07","688.9","690.2","2020/08/07 00:04:00","688.2","2020/08/07 17:37:00","10.6","19.0","2020/08/07 09:58:00","7.0","2020/08/07 23:45:00","81","53","2020/08/07 09:51:00","1.8","209","12.0","211","2020/08/07 04:43:00","0.0"
"08","686.7","688.2","2020/08/09 00:00:00","685.7","2020/08/08 16:08:00","10.9","19.8","2020/08/08 12:28:00","7.0","2020/08/08 05:08:00","74","37","2020/08/08 23:36:00","1.7","47","8.1","214","2020/08/08 06:28:00","0.0"
"09","685.5","686.9","2020/08/09 22:00:00","684.9","2020/08/09 04:53:00","11.8","18.2","2020/08/09 10:23:00","8.6","2020/08/09 23:31:00","63","18","2020/08/09 03:01:00","1.5","215","8.7","218","2020/08/09 23:44:00","0.0"
