"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","684.0","685.7","2020/09/01 22:15:00","682.2","2020/09/01 03:26:00","9.3","15.1","2020/09/01 11:30:00","5.5","2020/09/01 00:24:00","91","71","2020/09/01 17:11:00","1.7","3","9.0","344","2020/09/01 21:18:00","3.0"
"02","686.5","688.1","2020/09/02 22:31:00","684.9","2020/09/02 02:29:00","10.3","15.4","2020/09/02 11:20:00","7.6","2020/09/02 05:37:00","82","51","2020/09/02 02:46:00","2.0","211","9.8","338","2020/09/02 07:05:00","0.0"
"03","688.2","689.6","2020/09/03 21:54:00","686.9","2020/09/03 04:31:00","9.8","16.3","2020/09/03 11:51:00","7.0","2020/09/03 21:30:00","85","38","2020/09/03 23:46:00","1.7","223","7.7","255","2020/09/03 17:19:00","2.0"
"04","688.2","689.3","2020/09/04 09:45:00","687.3","2020/09/04 18:46:00","9.9","17.1","2020/09/04 10:41:00","6.9","2020/09/04 23:55:00","77","26","2020/09/04 06:11:00","1.2","303","5.5","172","2020/09/04 18:14:00","0.0"
"05","685.3","687.6","2020/09/06 00:00:00","683.4","2020/09/05 23:55:00","8.1","12.1","2020/09/05 11:58:00","6.3","2020/09/05 23:56:00","89","58","2020/09/05 04:31:00","2.3","330","9.5","341","2020/09/05 09:32:00","0.0"
"06","683.2","684.9","2020/09/06 23:14:00","681.9","2020/09/06 05:59:00","8.9","17.3","2020/09/06 12:18:00","3.9","2020/09/06 03:18:00","51","3","2020/09/06 23:34:00","2.1","325","10.5","353","2020/09/06 05:44:00","0.0"
"07","686.8","689.2","2020/09/07 22:57:00","684.2","2020/09/07 03:25:00","10.7","16.8","2020/09/07 13:08:00","7.6","2020/09/07 21:01:00","47","3","2020/09/07 00:07:00","1.8","263","9.5","350","2020/09/07 05:18:00","0.0"
"08","690.0","691.2","2020/09/08 21:20:00","688.9","2020/09/08 02:40:00","9.8","14.9","2020/09/08 10:31:00","7.9","2020/09/08 05:28:00","88","70","2020/09/08 10:33:00","1.6","294","7.4","329","2020/09/08 20:11:00","2.0"
"09","688.8","690.5","2020/09/10 00:00:00","687.4","2020/09/09 17:13:00","10.0","13.6","2020/09/09 10:34:00","8.4","2020/09/09 19:30:00","87","69","2020/09/09 23:00:00","1.4","278","9.5","215","2020/09/09 05:17:00","0.0"
"10","686.9","687.9","2020/09/10 09:42:00","685.8","2020/09/10 15:27:00","9.7","14.8","2020/09/10 10:23:00","7.1","2020/09/10 23:14:00","88","69","2020/09/10 23:58:00","1.9","211","10.4","213","2020/09/10 23:08:00","1.0"
"11","688.2","689.6","2020/09/11 22:24:00","686.7","2020/09/11 02:57:00","10.6","17.0","2020/09/11 12:39:00","7.5","2020/09/11 00:22:00","79","52","2020/09/11 00:58:00","1.6","254","6.9","226","2020/09/11 02:37:00","0.0"
"12","689.8","691.0","2020/09/12 21:40:00","688.6","2020/09/12 00:38:00","9.9","16.4","2020/09/12 10:15:00","7.2","2020/09/12 20:41:00","89","68","2020/09/12 08:25:00","2.2","199","11.0","213","2020/09/12 18:24:00","40.0"
"13","690.1","690.9","2020/09/13 09:03:00","689.3","2020/09/13 03:28:00","9.9","14.1","2020/09/13 10:01:00","7.7","2020/09/13 02:26:00","89","73","2020/09/13 01:54:00","1.4","1","6.8","220","2020/09/13 20:33:00","0.0"
"14","689.6","690.4","2020/09/14 22:05:00","688.5","2020/09/14 15:47:00","9.8","13.8","2020/09/14 10:36:00","7.8","2020/09/14 05:52:00","89","39","2020/09/14 22:32:00","1.5","206","6.2","223","2020/09/14 15:41:00","15.0"
"15","689.5","690.6","2020/09/15 20:39:00","688.6","2020/09/15 15:54:00","10.8","18.2","2020/09/15 11:11:00","7.9","2020/09/15 02:56:00","83","39","2020/09/15 04:38:00","1.8","14","4.7","106","2020/09/15 23:36:00","54.0"
"16","689.7","690.6","2020/09/16 21:38:00","688.7","2020/09/16 04:46:00","11.2","20.8","2020/09/16 12:32:00","7.6","2020/09/16 04:06:00","86","51","2020/09/16 10:52:00","2.1","221","9.7","213","2020/09/16 05:01:00","0.0"
"17","689.7","691.1","2020/09/17 23:27:00","688.7","2020/09/17 05:47:00","11.7","19.1","2020/09/17 11:14:00","7.8","2020/09/17 04:57:00","69","45","2020/09/17 10:51:00","2.2","211","12.8","215","2020/09/17 06:13:00","0.0"
"18","691.1","692.0","2020/09/18 21:24:00","690.2","2020/09/18 04:27:00","11.6","20.4","2020/09/18 12:33:00","7.1","2020/09/18 05:02:00","68","36","2020/09/18 10:06:00","2.2","214","8.5","215","2020/09/18 09:56:00","0.0"
